order_id,order_datetime,rating,review,tags_raw,order_hour,order_date,has_review,has_tags
F-2710283893,2024-12-21,5,,"CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_CUTLERY, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE",0,2024-12-21,0,1
F-2711860622,2024-12-22,5,,,0,2024-12-22,0,0
F-2712751359,2024-12-23,5,,,0,2024-12-23,0,0
F-2715157091,2024-12-25,3,kenapa ngga ada Pete nya... padahal pesen nya pakai Pete Ati Ampela,,0,2024-12-25,1,0
F-2719869593,2024-12-30,5,,,0,2024-12-30,0,0
F-2720295188,2024-12-30,5,Mantap rasa nya mantap juga porsi nya,,0,2024-12-30,1,0
F-2722007246,2025-01-01,5,,,0,2025-01-01,0,0
F-2723655181,2025-01-02,5,,,0,2025-01-02,0,0
F-2724429111,2025-01-03,4,,,0,2025-01-03,0,0
F-2724488019,2025-01-03,5,,,0,2025-01-03,0,0
F-2724550829,2025-01-03,5,,,0,2025-01-03,0,0
F-2730545794,2025-01-09,5,Tiap hari makan iniiiii,"CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION",0,2025-01-09,1,1
F-2734599289,2025-01-13,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE",0,2025-01-13,0,1
F-2734710508,2025-01-13,3,"tolong dirasa2 lagi ketika request pedes, terlalu kepedesan byk biji cabenya. semoga semakin laris manis. terima kasih",,0,2025-01-13,1,0
F-2734893812,2025-01-13,5,,,0,2025-01-13,0,0
F-2737543269,2025-01-16,5,,,0,2025-01-16,0,0
F-2737672281,2025-01-16,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION",0,2025-01-16,0,1
F-2739646609,2025-01-18,5,,,0,2025-01-18,0,0
F-2739798137,2025-01-18,5,"PORSI NYA BANYAK BGTTTTT, GA EXPECT BGTT, INI PORSI NASGOR DAN MIE TERBANYAK DI JAKARTAAAA????","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE",0,2025-01-18,1,1
F-2740774961,2025-01-19,5,,,0,2025-01-19,0,0
F-2740996295,2025-01-19,4,,CANNED_RESPONSE_TASTE,0,2025-01-19,0,1
F-2741916275,2025-01-20,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY",0,2025-01-20,0,1
F-2741960442,2025-01-20,5,,,0,2025-01-20,0,0
F-2742867012,2025-01-21,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_CUTLERY, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE",0,2025-01-21,0,1
F-2743740512,2025-01-22,5,,,0,2025-01-22,0,0
F-2744503944,2025-01-23,5,,,0,2025-01-23,0,0
F-2744605398,2025-01-23,5,,,0,2025-01-23,0,0
F-2745441446,2025-01-24,5,,,0,2025-01-24,0,0
F-2746710250,2025-01-25,5,,,0,2025-01-25,0,0
F-2749868179,2025-01-28,5,,,0,2025-01-28,0,0
F-2750186227,2025-01-28,3,,"CANNED_RESPONSE_TASTE, CANNED_RESPONSE_VALUE",0,2025-01-28,0,1
F-2750248069,2025-01-28,5,rasa nya enak dan mantab..,CANNED_RESPONSE_TASTE,0,2025-01-28,1,1
F-2752102687,2025-01-30,4,,,0,2025-01-30,0,0
F-2752166455,2025-01-30,5,,,0,2025-01-30,0,0
F-2753981453,2025-02-01,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE",0,2025-02-01,0,1
F-2753983608,2025-02-01,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE",0,2025-02-01,0,1
F-2756237144,2025-02-03,4,agak asin rasany,CANNED_RESPONSE_TASTE,0,2025-02-03,1,1
F-2756356861,2025-02-03,5,,"CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY",0,2025-02-03,0,1
F-2757109238,2025-02-04,5,,,0,2025-02-04,0,0
F-2757850492,2025-02-05,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY",0,2025-02-05,0,1
F-2757850545,2025-02-05,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY",0,2025-02-05,0,1
F-2760929023,2025-02-08,5,,,0,2025-02-08,0,0
F-2763805314,2025-02-11,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY",0,2025-02-11,0,1
F-2764694850,2025-02-12,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY",0,2025-02-12,0,1
F-2764713197,2025-02-12,5,,"CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_FRESHNESS",0,2025-02-12,0,1
F-2764838167,2025-02-12,5,,,0,2025-02-12,0,0
F-2765482610,2025-02-13,5,,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY",0,2025-02-13,0,1
F-2765804215,2025-02-13,5,,,0,2025-02-13,0,0
F-2766782255,2025-02-14,5,,,0,2025-02-14,0,0
F-2770432919,2025-02-18,5,,"CANNED_RESPONSE_PORTION, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_CUTLERY, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_HYGIENE",0,2025-02-18,0,1
F-2771318720,2025-02-19,3,,CANNED_RESPONSE_PORTION,0,2025-02-19,0,1
F-2772454692,2025-02-20,1,"PESANAN YG SAYA PESAN TIDAK SESUAI 
DAN RASA NASI GORENG SEAFOODNYA GOSONG DAN HITAM SUNGGUH SANGAT MENGECEWAKAN 
MASA SAYA MAKAN HITAM HITAM DAN PAHIT 
MENYESAL SAYA 
TIDAK DIKASI ALAT MAKAN 
TIDAK BACA APA YG ADA DI NOTE
KEMBALIKAN UANG SAYA !!!!!!!!","CANNED_RESPONSE_TASTE, CANNED_RESPONSE_CUTLERY_INCORRECT, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_FRESHNESS",0,2025-02-20,1,1
F-2774414379,2025-02-22,3,rasa masakan tidak sesuai permintaan kepedesan,,0,2025-02-22,1,0
F-2774421288,2025-02-22,5,,,0,2025-02-22,0,0
F-2774729737,2025-02-22,5,,,0,2025-02-22,0,0
F-2774784089,2025-02-22,4,beli makanan 3 tapi cuman dikasih sendok 1,,0,2025-02-22,1,0
