item_id,order_id,menu_name
74,F-2724488019,Capcay Goreng / Kuah
75,F-2724550829,Ifu Mie
76,F-2724550829,Air Jeruk
77,F-2730545794,Nasi Goreng Ayam
78,F-2730545794,Mie Goreng / Kuah Ayam
79,F-2734599289,Nasi Goreng Special
80,F-2734710508,Nasi Goreng Ayam Bakso
81,F-2734710508,Kwetiau Goreng / Kuah Ayam Bakso
82,F-2734893812,Nasi Goreng Ati Ampela
83,F-2737543269,Nasi Goreng Special
84,F-2737543269,Nasi Goreng Ati Ampela
85,F-2737543269,Es Teh Tawar
86,F-2737543269,Mie Goreng / Kuah Ayam Bakso
87,F-2737672281,Nasi Goreng Ayam Bakso
88,F-2739646609,Mie Goreng / Kuah Ayam Bakso
89,F-2739646609,Kwetiau Goreng / Kuah Ayam Bakso
90,F-2739798137,Kwetiau Goreng / Kuah Ayam Bakso
91,F-2739798137,Mie Goreng / Kuah Ayam Bakso
92,F-2740774961,Kwetiau Goreng / Kuah Ayam Bakso
93,F-2740774961,"Teh Manis ""Panas"""
94,F-2740996295,Nasi Goreng Ati Ampela
95,F-2741916275,Mie Goreng / Kuah Ayam Bakso
96,F-2741960442,Nasi Goreng Ayam Bakso
97,F-2741960442,Mie Goreng / Kuah Ayam
98,F-2742867012,Kwetiau Goreng / Kuah Ayam Bakso
99,F-2742867012,Telur
100,F-2743740512,Nasi Goreng Ayam Bakso
101,F-2744503944,Nasi Goreng Ayam Bakso
102,F-2744605398,Nasi Goreng Ayam Bakso
103,F-2744605398,Nasi Goreng Bakso Kornet
104,F-2745441446,Nasi Goreng Special
105,F-2746710250,Nasi Goreng Ayam
106,F-2746710250,Nasi Goreng Ati Ampela
107,F-2749868179,Nasi Goreng Ati Ampela
108,F-2749868179,Nasi Goreng Ayam Bakso
109,F-2749868179,"Teh Manis ""Dingin"""
110,F-2750186227,Nasi Goreng Ayam Bakso
111,F-2750186227,Mie Goreng / Kuah Ayam Bakso
112,F-2750248069,Nasi Goreng Kambing
113,F-2752102687,Nasi Goreng Ati Ampela
114,F-2752166455,Nasi Goreng Ayam Bakso
115,F-2753981453,Nasi Goreng Ayam Bakso
116,F-2753983608,Nasi Goreng Ayam Bakso
117,F-2756237144,Nasi Goreng Ayam Bakso
118,F-2756356861,Nasi Goreng Kambing
119,F-2757109238,Mie Goreng / Kuah Ayam Bakso
120,F-2757109238,Nasi Goreng Bakso Kornet
121,F-2757850492,Nasi Goreng Ayam Bakso
122,F-2757850545,Nasi Goreng Ayam Bakso
123,F-2760929023,Mie Goreng / Kuah Ayam
124,F-2763805314,Nasi Goreng Ayam Bakso
125,F-2764694850,Nasi Goreng Special
126,F-2764713197,Nasi Goreng Pete
127,F-2764713197,Nasi Goreng Ayam
128,F-2764713197,Nasi Goreng Teri Medan
129,F-2764838167,Bihun Goreng / Kuah Ayam Bakso
130,F-2765482610,Nasi Goreng Special
131,F-2765804215,Nasi Goreng Ikan Asin
132,F-2765804215,Air Jeruk
133,F-2766782255,Nasi Goreng Telur
134,F-2770432919,Bihun Goreng / Kuah Ayam
135,F-2770432919,Kwetiau Goreng Ayam
136,F-2771318720,Nasi Goreng Ayam Bakso
137,F-2771318720,Nasi Goreng Telur
138,F-2771318720,Mie Goreng / Kuah Ayam Bakso
139,F-2772454692,Nasi Goreng Ikan Asin
140,F-2772454692,Nasi Goreng Seafood
141,F-2774414379,Nasi Goreng Telur
142,F-2774414379,Nasi Goreng Ayam Bakso
143,F-2774421288,Nasi Goreng Telur
144,F-2774729737,Nasi Goreng Seafood
145,F-2774784089,Nasi Goreng Special
146,F-2774784089,Es Teh Tawar
147,F-2774784089,Air Mineral Aqua- 600 Ml
148,F-2774784089,Kwetiau Goreng / Kuah Ayam Bakso
149,F-2774784089,Nasi Goreng Telur
