Tanggal Transaksi,Nama Resto,Tipe Pesanan,Nomor Pesanan,Rating untuk Resto,Review,Nama Menu,Tag yang Dipilih
10/17/2024,Nasi Goreng Polonia,Gofood Delivery,F-2633750482,5,,"Kwetiau Goreng / Kuah Ayam Bakso, Nasi Goreng Special",
10/17/2024,Nasi Goreng Polonia,Gofood Delivery,F-2633750482,5,,"Kwetiau Goreng / Kuah Ayam Bakso, Nasi Goreng Special",
10/17/2024,Nasi Goreng Polonia,Gofood Delivery,F-2633750482,5,,"Kwetiau Goreng / Kuah Ayam Bakso, Nasi Goreng Special",
10/17/2024,Nasi Goreng Polonia,Gofood Delivery,F-2633790827,5,"chef-nya memerhatikan catatan dari pembeli, porsi beneran banyak dan rasanya cukup enak. puas lah",Nasi Goreng Special,"CANNED_RESPONSE_PORTION, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE"
10/17/2024,Nasi Goreng Polonia,Gofood Delivery,F-2633790827,5,"chef-nya memerhatikan catatan dari pembeli, porsi beneran banyak dan rasanya cukup enak. puas lah",Nasi Goreng Special,"CANNED_RESPONSE_PORTION, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE"
10/17/2024,Nasi Goreng Polonia,Gofood Delivery,F-2633790827,5,"chef-nya memerhatikan catatan dari pembeli, porsi beneran banyak dan rasanya cukup enak. puas lah",Nasi Goreng Special,"CANNED_RESPONSE_PORTION, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE"
10/18/2024,Nasi Goreng Polonia,Gofood Delivery,F-2634627942,5,,"Nasi Goreng Ayam Bakso, Nasi Goreng Pete, Nasi Goreng Special","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
10/18/2024,Nasi Goreng Polonia,Gofood Delivery,F-2634627942,5,,"Nasi Goreng Ayam Bakso, Nasi Goreng Pete, Nasi Goreng Special","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
10/18/2024,Nasi Goreng Polonia,Gofood Delivery,F-2634627942,5,,"Nasi Goreng Ayam Bakso, Nasi Goreng Pete, Nasi Goreng Special","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
10/22/2024,Nasi Goreng Polonia,Gofood Delivery,F-2639826644,4,,"Nasi Goreng Ayam, Bihun Goreng / Kuah Ayam",
10/22/2024,Nasi Goreng Polonia,Gofood Delivery,F-2639826644,4,,"Nasi Goreng Ayam, Bihun Goreng / Kuah Ayam",
10/22/2024,Nasi Goreng Polonia,Gofood Delivery,F-2639826644,4,,"Nasi Goreng Ayam, Bihun Goreng / Kuah Ayam",
10/24/2024,Nasi Goreng Polonia,Gofood Delivery,F-2641962912,5,,Nasi Goreng Ati Ampela,
10/24/2024,Nasi Goreng Polonia,Gofood Delivery,F-2641962912,5,,Nasi Goreng Ati Ampela,
10/24/2024,Nasi Goreng Polonia,Gofood Delivery,F-2641962912,5,,Nasi Goreng Ati Ampela,
10/25/2024,Nasi Goreng Polonia,Gofood Delivery,F-2643125700,4,,Nasi Goreng Pete Ati Ampela,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PRICE, CANNED_RESPONSE_VALUE"
10/25/2024,Nasi Goreng Polonia,Gofood Delivery,F-2643125700,4,,Nasi Goreng Pete Ati Ampela,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PRICE, CANNED_RESPONSE_VALUE"
10/25/2024,Nasi Goreng Polonia,Gofood Delivery,F-2643125700,4,,Nasi Goreng Pete Ati Ampela,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PRICE, CANNED_RESPONSE_VALUE"
10/26/2024,Nasi Goreng Polonia,Gofood Delivery,F-2644043525,4,,"Nasi Goreng Special, Air Jeruk",
10/26/2024,Nasi Goreng Polonia,Gofood Delivery,F-2644043525,4,,"Nasi Goreng Special, Air Jeruk",
10/26/2024,Nasi Goreng Polonia,Gofood Delivery,F-2644043525,4,,"Nasi Goreng Special, Air Jeruk",
10/26/2024,Nasi Goreng Polonia,Gofood Delivery,F-2644271758,5,enakkk selalu enak pas murah meriah,"Nasi Goreng Ati Ampela, Bihun Goreng / Kuah Ayam Bakso",
10/26/2024,Nasi Goreng Polonia,Gofood Delivery,F-2644271758,5,enakkk selalu enak pas murah meriah,"Nasi Goreng Ati Ampela, Bihun Goreng / Kuah Ayam Bakso",
10/26/2024,Nasi Goreng Polonia,Gofood Delivery,F-2644271758,5,enakkk selalu enak pas murah meriah,"Nasi Goreng Ati Ampela, Bihun Goreng / Kuah Ayam Bakso",
10/26/2024,Nasi Goreng Polonia,Gofood Delivery,F-2644319755,5,,"Nasi Goreng Ati Ampela, Capcay Goreng / Kuah","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
10/26/2024,Nasi Goreng Polonia,Gofood Delivery,F-2644319755,5,,"Nasi Goreng Ati Ampela, Capcay Goreng / Kuah","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
10/26/2024,Nasi Goreng Polonia,Gofood Delivery,F-2644319755,5,,"Nasi Goreng Ati Ampela, Capcay Goreng / Kuah","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
10/29/2024,Nasi Goreng Polonia,Gofood Delivery,F-2647915245,5,,"Nasi Goreng Special, Kwetiau Goreng / Kuah Ayam Bakso",
10/29/2024,Nasi Goreng Polonia,Gofood Delivery,F-2647915245,5,,"Nasi Goreng Special, Kwetiau Goreng / Kuah Ayam Bakso",
10/29/2024,Nasi Goreng Polonia,Gofood Delivery,F-2647915245,5,,"Nasi Goreng Special, Kwetiau Goreng / Kuah Ayam Bakso",
10/30/2024,Nasi Goreng Polonia,Gofood Delivery,F-2648480065,1,"order mie, udh di note pedes dikit aja. naudzubillah malah pedes bgt tu mie, kagak kemakan MUBAZIR, kebuang tu miee. masa iya baca note ga keliatan, apa kudu di capslock? huu kecewa bgt
lain kali harap teliti sama note para cs!",Mie Goreng / Kuah Ayam,
10/30/2024,Nasi Goreng Polonia,Gofood Delivery,F-2648480065,1,"order mie, udh di note pedes dikit aja. naudzubillah malah pedes bgt tu mie, kagak kemakan MUBAZIR, kebuang tu miee. masa iya baca note ga keliatan, apa kudu di capslock? huu kecewa bgt
lain kali harap teliti sama note para cs!",Mie Goreng / Kuah Ayam,
10/30/2024,Nasi Goreng Polonia,Gofood Delivery,F-2648480065,1,"order mie, udh di note pedes dikit aja. naudzubillah malah pedes bgt tu mie, kagak kemakan MUBAZIR, kebuang tu miee. masa iya baca note ga keliatan, apa kudu di capslock? huu kecewa bgt
lain kali harap teliti sama note para cs!",Mie Goreng / Kuah Ayam,
11/2/2024,Nasi Goreng Polonia,Gofood Delivery,F-2652819375,5,,"Kwetiau Goreng / Kuah Ayam Bakso, Nasi Goreng Ayam Bakso",
11/2/2024,Nasi Goreng Polonia,Gofood Delivery,F-2652819375,5,,"Kwetiau Goreng / Kuah Ayam Bakso, Nasi Goreng Ayam Bakso",
11/2/2024,Nasi Goreng Polonia,Gofood Delivery,F-2652819375,5,,"Kwetiau Goreng / Kuah Ayam Bakso, Nasi Goreng Ayam Bakso",
11/6/2024,Nasi Goreng Polonia,Gofood Delivery,F-2657662638,5,,"Mie Goreng / Kuah Ayam, Nasi Goreng Seafood","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
11/6/2024,Nasi Goreng Polonia,Gofood Delivery,F-2657662638,5,,"Mie Goreng / Kuah Ayam, Nasi Goreng Seafood","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
11/6/2024,Nasi Goreng Polonia,Gofood Delivery,F-2657662638,5,,"Mie Goreng / Kuah Ayam, Nasi Goreng Seafood","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
11/6/2024,Nasi Goreng Polonia,Gofood Delivery,F-2657702861,5,,"Kwetiau Goreng / Kuah Ayam Bakso, Nasi Goreng Ayam Bakso",
11/6/2024,Nasi Goreng Polonia,Gofood Delivery,F-2657702861,5,,"Kwetiau Goreng / Kuah Ayam Bakso, Nasi Goreng Ayam Bakso",
11/6/2024,Nasi Goreng Polonia,Gofood Delivery,F-2657702861,5,,"Kwetiau Goreng / Kuah Ayam Bakso, Nasi Goreng Ayam Bakso",
11/7/2024,Nasi Goreng Polonia,Gofood Delivery,F-2658741574,5,,Nasi Goreng Ayam Bakso,
11/7/2024,Nasi Goreng Polonia,Gofood Delivery,F-2658741574,5,,Nasi Goreng Ayam Bakso,
11/7/2024,Nasi Goreng Polonia,Gofood Delivery,F-2658741574,5,,Nasi Goreng Ayam Bakso,
11/8/2024,Nasi Goreng Polonia,Gofood Delivery,F-2659628801,3,,Nasi Goreng Ati Ampela,CANNED_RESPONSE_TASTE
11/8/2024,Nasi Goreng Polonia,Gofood Delivery,F-2659628801,3,,Nasi Goreng Ati Ampela,CANNED_RESPONSE_TASTE
11/8/2024,Nasi Goreng Polonia,Gofood Delivery,F-2659628801,3,,Nasi Goreng Ati Ampela,CANNED_RESPONSE_TASTE
11/13/2024,Nasi Goreng Polonia,Gofood Delivery,F-2665806656,5,,Nasi Goreng Ati Ampela,
11/13/2024,Nasi Goreng Polonia,Gofood Delivery,F-2665806656,5,,Nasi Goreng Ati Ampela,
11/13/2024,Nasi Goreng Polonia,Gofood Delivery,F-2665806656,5,,Nasi Goreng Ati Ampela,
11/13/2024,Nasi Goreng Polonia,Gofood Delivery,F-2665994849,5,,Nasi Goreng Special,
11/13/2024,Nasi Goreng Polonia,Gofood Delivery,F-2665994849,5,,Nasi Goreng Special,
11/13/2024,Nasi Goreng Polonia,Gofood Delivery,F-2665994849,5,,Nasi Goreng Special,
11/19/2024,Nasi Goreng Polonia,Gofood Delivery,F-2672934919,5,,Nasi Goreng Ayam Bakso,
11/19/2024,Nasi Goreng Polonia,Gofood Delivery,F-2672934919,5,,Nasi Goreng Ayam Bakso,
11/19/2024,Nasi Goreng Polonia,Gofood Delivery,F-2672934919,5,,Nasi Goreng Ayam Bakso,
11/19/2024,Nasi Goreng Polonia,Gofood Delivery,F-2672953591,4,,Nasi Goreng Ayam Bakso,
11/19/2024,Nasi Goreng Polonia,Gofood Delivery,F-2672953591,4,,Nasi Goreng Ayam Bakso,
11/19/2024,Nasi Goreng Polonia,Gofood Delivery,F-2672953591,4,,Nasi Goreng Ayam Bakso,
11/24/2024,Nasi Goreng Polonia,Gofood Delivery,F-2678728959,5,,Nasi Goreng Ayam Bakso,
11/24/2024,Nasi Goreng Polonia,Gofood Delivery,F-2678728959,5,,Nasi Goreng Ayam Bakso,
11/24/2024,Nasi Goreng Polonia,Gofood Delivery,F-2678728959,5,,Nasi Goreng Ayam Bakso,
11/27/2024,Nasi Goreng Polonia,Gofood Delivery,F-2682475762,5,,Nasi Goreng Teri Medan,
11/27/2024,Nasi Goreng Polonia,Gofood Delivery,F-2682475762,5,,Nasi Goreng Teri Medan,
11/27/2024,Nasi Goreng Polonia,Gofood Delivery,F-2682475762,5,,Nasi Goreng Teri Medan,
12/4/2024,Nasi Goreng Polonia,Gofood Delivery,F-2690710334,5,,Nasi Goreng Ati Ampela,
12/4/2024,Nasi Goreng Polonia,Gofood Delivery,F-2690710334,5,,Nasi Goreng Ati Ampela,
12/4/2024,Nasi Goreng Polonia,Gofood Delivery,F-2690710334,5,,Nasi Goreng Ati Ampela,
12/4/2024,Nasi Goreng Polonia,Gofood Delivery,F-2690758503,5,,"Nasi Goreng Ikan Asin, Nasi Goreng Pete",
12/4/2024,Nasi Goreng Polonia,Gofood Delivery,F-2690758503,5,,"Nasi Goreng Ikan Asin, Nasi Goreng Pete",
12/4/2024,Nasi Goreng Polonia,Gofood Delivery,F-2690758503,5,,"Nasi Goreng Ikan Asin, Nasi Goreng Pete",
12/5/2024,Nasi Goreng Polonia,Gofood Delivery,F-2691991284,5,,Nasi Goreng Teri Medan,
12/5/2024,Nasi Goreng Polonia,Gofood Delivery,F-2691991284,5,,Nasi Goreng Teri Medan,
12/5/2024,Nasi Goreng Polonia,Gofood Delivery,F-2691991284,5,,Nasi Goreng Teri Medan,
12/7/2024,Nasi Goreng Polonia,Gofood Delivery,F-2693536570,5,,Capcay Goreng / Kuah,
12/7/2024,Nasi Goreng Polonia,Gofood Delivery,F-2693536570,5,,Capcay Goreng / Kuah,
12/7/2024,Nasi Goreng Polonia,Gofood Delivery,F-2693536570,5,,Capcay Goreng / Kuah,
12/10/2024,Nasi Goreng Polonia,Gofood Delivery,F-2697863576,5,"mantep porsinya banyak, rasanya lezat. Best deh",Nasi Goreng Special,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
12/10/2024,Nasi Goreng Polonia,Gofood Delivery,F-2697863576,5,"mantep porsinya banyak, rasanya lezat. Best deh",Nasi Goreng Special,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
12/10/2024,Nasi Goreng Polonia,Gofood Delivery,F-2697863576,5,"mantep porsinya banyak, rasanya lezat. Best deh",Nasi Goreng Special,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
12/21/2024,Nasi Goreng Polonia,Gofood Delivery,F-2710283893,5,,"Bihun Goreng / Kuah Ayam, Nasi Goreng Ayam","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_CUTLERY, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE"
12/21/2024,Nasi Goreng Polonia,Gofood Delivery,F-2710283893,5,,"Bihun Goreng / Kuah Ayam, Nasi Goreng Ayam","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_CUTLERY, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE"
12/21/2024,Nasi Goreng Polonia,Gofood Delivery,F-2710283893,5,,"Bihun Goreng / Kuah Ayam, Nasi Goreng Ayam","CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_CUTLERY, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE"
12/22/2024,Nasi Goreng Polonia,Gofood Delivery,F-2711860622,5,,"Nasi Goreng Ati Ampela, Nasi Goreng Ayam Bakso",
12/22/2024,Nasi Goreng Polonia,Gofood Delivery,F-2711860622,5,,"Nasi Goreng Ati Ampela, Nasi Goreng Ayam Bakso",
12/22/2024,Nasi Goreng Polonia,Gofood Delivery,F-2711860622,5,,"Nasi Goreng Ati Ampela, Nasi Goreng Ayam Bakso",
12/23/2024,Nasi Goreng Polonia,Gofood Delivery,F-2712751359,5,,Nasi Goreng Special,
12/23/2024,Nasi Goreng Polonia,Gofood Delivery,F-2712751359,5,,Nasi Goreng Special,
12/23/2024,Nasi Goreng Polonia,Gofood Delivery,F-2712751359,5,,Nasi Goreng Special,
12/25/2024,Nasi Goreng Polonia,Gofood Delivery,F-2715157091,3,kenapa ngga ada Pete nya... padahal pesen nya pakai Pete Ati Ampela,"Nasi Goreng Special, Nasi Goreng Pete Ati Ampela, Air Jeruk, Es Teh Tawar",
12/25/2024,Nasi Goreng Polonia,Gofood Delivery,F-2715157091,3,kenapa ngga ada Pete nya... padahal pesen nya pakai Pete Ati Ampela,"Nasi Goreng Special, Nasi Goreng Pete Ati Ampela, Air Jeruk, Es Teh Tawar",
12/25/2024,Nasi Goreng Polonia,Gofood Delivery,F-2715157091,3,kenapa ngga ada Pete nya... padahal pesen nya pakai Pete Ati Ampela,"Nasi Goreng Special, Nasi Goreng Pete Ati Ampela, Air Jeruk, Es Teh Tawar",
12/30/2024,Nasi Goreng Polonia,Gofood Delivery,F-2719869593,5,,"Nasi Goreng Special, Nasi Goreng Kambing, Nasi Goreng Teri Medan, Kwetiau Goreng / Kuah Ayam Bakso, Mie Goreng / Kuah Ayam Bakso",
12/30/2024,Nasi Goreng Polonia,Gofood Delivery,F-2719869593,5,,"Nasi Goreng Special, Nasi Goreng Kambing, Nasi Goreng Teri Medan, Kwetiau Goreng / Kuah Ayam Bakso, Mie Goreng / Kuah Ayam Bakso",
12/30/2024,Nasi Goreng Polonia,Gofood Delivery,F-2719869593,5,,"Nasi Goreng Special, Nasi Goreng Kambing, Nasi Goreng Teri Medan, Kwetiau Goreng / Kuah Ayam Bakso, Mie Goreng / Kuah Ayam Bakso",
12/30/2024,Nasi Goreng Polonia,Gofood Delivery,F-2720295188,5,Mantap rasa nya mantap juga porsi nya,"Nasi Goreng Pete, Kwetiau Kuah Ayam",
12/30/2024,Nasi Goreng Polonia,Gofood Delivery,F-2720295188,5,Mantap rasa nya mantap juga porsi nya,"Nasi Goreng Pete, Kwetiau Kuah Ayam",
12/30/2024,Nasi Goreng Polonia,Gofood Delivery,F-2720295188,5,Mantap rasa nya mantap juga porsi nya,"Nasi Goreng Pete, Kwetiau Kuah Ayam",
1/1/2025,Nasi Goreng Polonia,Gofood Delivery,F-2722007246,5,,Nasi Goreng Special,
1/1/2025,Nasi Goreng Polonia,Gofood Delivery,F-2722007246,5,,Nasi Goreng Special,
1/2/2025,Nasi Goreng Polonia,Gofood Delivery,F-2723655181,5,,"Nasi Goreng Ayam, Nasi Goreng Pete Ati Ampela, Nasi Goreng Pete Ati Ampela",
1/2/2025,Nasi Goreng Polonia,Gofood Delivery,F-2723655181,5,,"Nasi Goreng Ayam, Nasi Goreng Pete Ati Ampela, Nasi Goreng Pete Ati Ampela",
1/3/2025,Nasi Goreng Polonia,Gofood Delivery,F-2724429111,4,,Nasi Goreng Ati Ampela,
1/3/2025,Nasi Goreng Polonia,Gofood Delivery,F-2724429111,4,,Nasi Goreng Ati Ampela,
1/3/2025,Nasi Goreng Polonia,Gofood Delivery,F-2724488019,5,,"Nasi Goreng Ayam Bakso, Capcay Goreng / Kuah",
1/3/2025,Nasi Goreng Polonia,Gofood Delivery,F-2724488019,5,,"Nasi Goreng Ayam Bakso, Capcay Goreng / Kuah",
1/3/2025,Nasi Goreng Polonia,Gofood Delivery,F-2724550829,5,,"Ifu Mie, Air Jeruk",
1/3/2025,Nasi Goreng Polonia,Gofood Delivery,F-2724550829,5,,"Ifu Mie, Air Jeruk",
1/9/2025,Nasi Goreng Polonia,Gofood Delivery,F-2730545794,5,Tiap hari makan iniiiii,"Nasi Goreng Ayam, Mie Goreng / Kuah Ayam","CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION"
1/9/2025,Nasi Goreng Polonia,Gofood Delivery,F-2730545794,5,Tiap hari makan iniiiii,"Nasi Goreng Ayam, Mie Goreng / Kuah Ayam","CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION"
1/13/2025,Nasi Goreng Polonia,Gofood Delivery,F-2734599289,5,,Nasi Goreng Special,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE"
1/13/2025,Nasi Goreng Polonia,Gofood Delivery,F-2734599289,5,,Nasi Goreng Special,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE"
1/13/2025,Nasi Goreng Polonia,Gofood Delivery,F-2734710508,3,"tolong dirasa2 lagi ketika request pedes, terlalu kepedesan byk biji cabenya. semoga semakin laris manis. terima kasih","Nasi Goreng Ayam Bakso, Kwetiau Goreng / Kuah Ayam Bakso",
1/13/2025,Nasi Goreng Polonia,Gofood Delivery,F-2734710508,3,"tolong dirasa2 lagi ketika request pedes, terlalu kepedesan byk biji cabenya. semoga semakin laris manis. terima kasih","Nasi Goreng Ayam Bakso, Kwetiau Goreng / Kuah Ayam Bakso",
1/13/2025,Nasi Goreng Polonia,Gofood Delivery,F-2734893812,5,,Nasi Goreng Ati Ampela,
1/13/2025,Nasi Goreng Polonia,Gofood Delivery,F-2734893812,5,,Nasi Goreng Ati Ampela,
1/16/2025,Nasi Goreng Polonia,Gofood Delivery,F-2737543269,5,,"Nasi Goreng Special, Nasi Goreng Ati Ampela, Es Teh Tawar, Mie Goreng / Kuah Ayam Bakso",
1/16/2025,Nasi Goreng Polonia,Gofood Delivery,F-2737543269,5,,"Nasi Goreng Special, Nasi Goreng Ati Ampela, Es Teh Tawar, Mie Goreng / Kuah Ayam Bakso",
1/16/2025,Nasi Goreng Polonia,Gofood Delivery,F-2737672281,5,,Nasi Goreng Ayam Bakso,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION"
1/16/2025,Nasi Goreng Polonia,Gofood Delivery,F-2737672281,5,,Nasi Goreng Ayam Bakso,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION"
1/18/2025,Nasi Goreng Polonia,Gofood Delivery,F-2739646609,5,,"Mie Goreng / Kuah Ayam Bakso, Kwetiau Goreng / Kuah Ayam Bakso",
1/18/2025,Nasi Goreng Polonia,Gofood Delivery,F-2739646609,5,,"Mie Goreng / Kuah Ayam Bakso, Kwetiau Goreng / Kuah Ayam Bakso",
1/18/2025,Nasi Goreng Polonia,Gofood Delivery,F-2739798137,5,"PORSI NYA BANYAK BGTTTTT, GA EXPECT BGTT, INI PORSI NASGOR DAN MIE TERBANYAK DI JAKARTAAAA????","Kwetiau Goreng / Kuah Ayam Bakso, Mie Goreng / Kuah Ayam Bakso","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE"
